ウテロン錠５ｍｇ,2590004F1010
高砂コウボクＭ,5100067X1015
高砂コウボク末Ｍ,5100067A1063
高砂コロンボ末Ｍ,5100073A1018
高砂サイコＭ,5100075X1010
高砂サイシンＭ,5100076X1014
高砂サフランＭ,5100078X1013
高砂サンキライＭ,5100079X1018
高砂サンシュユＭ,5100082X1010
高砂サンショウＭ,5100083X1014
高砂サンシシＭ,5100081X1015
高砂サンシシ末Ｍ,5100081A1012
高砂サンヤクＭ,5100086X1018
高砂シャクヤクＭ,5100094X1012
高砂シャクヤク末Ｍ,5100094A1010
高砂シャゼンシＭ,5100097X1016
高砂シュクシャＭ,5100101X1014
高砂シュクシャ末Ｍ,5100101A1011
高砂ショウキョウＭ,5100102X1019
高砂ショウキョウ末Ｍ,5100102A1016
高砂ショウマＭ,5100106X1017
高砂シコンＭ,5100090X1014
高砂セッコウＭ,5100109X1010
高砂センキュウＭ,5100111X1018
高砂センキュウ末Ｍ,5100111A1015
高砂センコツＭ,5100113X1017
高砂センナＭ,5100115X1016
高砂センナ末Ｍ,5100115A1013
高砂センブリＭ,5100116X1010
高砂センブリ末Ｍ,5100116A1018
高砂ソウハクヒＭ,5100118X1010
高砂ソウジュツＭ,5100117X1015
高砂ソウジュツ末Ｍ,5100117A1012
高砂ソヨウＭ,5100120X1017
高砂タイソウＭ,5100122X1016
高砂タクシャＭ,5100124X1015
高砂タクシャ末Ｍ,5100124A1012
高砂チョウジＭ,5100128X1013
高砂チョウジ末Ｍ,5100128A1010
高砂チョレイＭ,5100130X1010
高砂チクセツニンジンＭ,5100126X1014
高砂チクセツニンジン末Ｍ,5100126A1011
高砂チモＭ,5100127X1019
高砂チンピＭ,5100131X1015
高砂トウキＭ,5100137X1012
高砂トウキ末Ｍ,5100137A1010
高砂トウニンＭ,5100139X1011
高砂トウヒＭ,5100140X1014
高砂ニンジンＭ,5100148X1010
高砂ハッカＭ,5100152X1017
高砂ハマボウフウＭ,5100153X1011
高砂ハンゲＭ,5100154X1016
高砂マオウＭ,5100170X1015
高砂モッコウＭ,5100175X1018
高砂モクツウＭ,5100173X1019
高砂ヤクチＭ,5100177X1068
高砂ヨクイニンＭ,5100180X1019
高砂ヨクイニン末Ｍ,5100180A1016
高砂リュウコツＭ,5100182X1018
高砂リュウタンＭ,5100183X1012
高砂リュウタン末Ｍ,5100183A1010
高砂レンギョウＭ,5100185X1011
高砂ガジュツＭ,5100029X1060
高砂ゲンチアナＭ,5100060X1013
高砂ゲンチアナ末Ｍ,5100060A1010
高砂ゲンノショウコＭ,5100061X1018
高砂ゲンノショウコ末Ｍ,5100061A1015
高砂ゴシュユＭ,5100070X1017
高砂ゴシツＭ,5100069X1014
高砂ゴミシＭ,5100072X1016
高砂ジュウヤクＭ,5100100X1010
高砂ジオウＭ,5100087X1012
高砂ダイオウＭ,5100121X1011
高砂ダイオウ末Ｍ,5100121A1019
高砂バクモンドウＭ,5100151X1012
高砂ビャクシＭ,5100157X1010
高砂ビャクジュツＭ,5100158X1014
高砂ビャクジュツ末Ｍ,5100158A1011
高砂ビンロウジＭ,5100160X1011
高砂ブクリョウＭ,5100161X1016
高砂ブクリョウ末Ｍ,5100161A1013
高砂ボウイＭ,5100163X1015
高砂ボタンピＭ,5100168X1018
高砂ボタンピ末Ｍ,5100168A1015
高砂ボレイＭ,5100169X1012
高砂ボレイ末Ｍ,5100169A1010
次硝酸ビスマス「三恵」,2315002X1070
合成ケイ酸アルミニウム「三恵」,2343001X1010
重カマ「ヨシダ」,2344002X1241
重質酸化マグネシウム「ケンエー」,2344002X1055
重質酸化マグネシウム　シオエ,2344002X1080
花扇アキョウＫ,5100001X1016
花扇アセンヤク末Ｋ,5100002A1018
花扇アマチャＫ,5100003X1015
花扇アロエ末Ｋ,5100004A1017
花扇イレイセンＫ,5100006X1019
花扇ウイキョウＫ,5100008X1018
花扇ウヤクＫ,5100012X1014
花扇ウワウルシＫ,5100013X1019
花扇エンゴサクＫ,5100015X1018
花扇オウヒＫ,5100021X1013
花扇オウレンＫ,5100022X1018
花扇オウレン末Ｋ,5100022A1015
花扇オウギＫ,5100017X1033
花扇オウゴンＫ,5100019X1016
花扇オウゴン末Ｋ,5100019A1013
花扇オウバクＫ,5100020X1019
花扇オウバク末Ｋ,5100020A1016
花扇オンジＫ,5100023X1012
花扇オンジ末Ｋ,5100023A1010
花扇カッコウＫ,5100031X1017
花扇カッコンＫ,5100032X1011
花扇カッセキＫ,5100033X1016
花扇カロコンＫ,5100036X1010
花扇カロニンＫ,5100037X1014
花扇カンテン末Ｋ,5100041A1018
花扇カンゾウＫ,5100039X1013
花扇カンゾウ末Ｋ,5100039A1010
花扇カゴソウＫ,5100026X1016
花扇キョウカツＫ,5100048X1012
花扇キョウニンＫ,5100049X1017
花扇キキョウＫ,5100042X1015
花扇キキョウ末Ｋ,5100042A1012
花扇キクカＫ,5100043X1010
花扇キササゲＫ,5100044X1014
花扇キジツＫ,5100045X1035
花扇クジンＫ,5100054X1018
花扇クジン末Ｋ,5100054A1015
花扇ケイヒＫ,5100056X1017
花扇ケイヒ末Ｋ,5100056A1014
花扇ケイガイＫ,5100055X1012
花扇ケツメイシＫ,5100057X1011
花扇コウカＫ,5100062X1012
花扇コウホンＫ,5100068X1010
花扇コウジンＫ,5100063X1017
花扇コウブシＫ,5100065X1016
花扇コウブシ末Ｋ,5100065A1013
花扇コウボクＫ,5100067X1015
花扇コウボク末Ｋ,5100067A1012
花扇コロンボＫ,5100073X1010
花扇サイコＫ,5100075X1010
花扇サイシンＫ,5100076X1014
花扇サフランＫ,5100078X1048
花扇サンキライＫ,5100079X1018
花扇サンキライ末Ｋ,5100079A1015
花扇サンシュユＫ,5100082X1036
花扇サンショウＫ,5100083X1014
花扇サンショウ末Ｋ,5100083A1011
花扇サンシシＫ,5100081X1015
花扇サンシシ末Ｋ,5100081A1012
花扇サンソウニンＫ,5100085X1013
花扇サンヤクＫ,5100086X1018
花扇シャクヤクＫ,5100094X1012
花扇シャクヤク末Ｋ,5100094A1010
花扇シャゼンシＫ,5100097X1016
花扇シャゼンソウＫ,5100098X1010
花扇シュクシャＫ,5100101X1014
花扇シュクシャ末Ｋ,5100101A1011
花扇ショウキョウＫ,5100102X1019
花扇ショウキョウ末Ｋ,5100102A1016
花扇ショウマＫ,5100106X1017
花扇ショウズクＫ,5100103X1013
花扇シコンＫ,5100090X1014
花扇セッコウＫ,5100109X1010
花扇セネガＫ,5100110X1013
花扇セネガ末Ｋ,5100110A1010
花扇センキュウＫ,5100111X1018
花扇センキュウ末Ｋ,5100111A1015
花扇センコツＫ,5100113X1017
花扇センナＫ,5100115X1016
花扇センナ末Ｋ,5100115A1013
花扇センブリＫ,5100116X1010
花扇センブリ末Ｋ,5100116A1018
花扇ソウハクヒＫ,5100118X1010
花扇ソウジュツＫ,5100117X1015
花扇ソウジュツ末Ｋ,5100117A1012
花扇ソヨウＫ,5100120X1017
花扇ソボクＫ,5100119X1014
花扇タイソウＫ,5100122X1016
花扇タクシャＫ,5100124X1015
花扇タクシャ末Ｋ,5100124A1012
花扇チョウトウコウＫ,5100129X1018
花扇チョウジＫ,5100128X1013
花扇チョウジ末Ｋ,5100128A1010
花扇チョレイＫ,5100130X1010
花扇チクセツニンジンＫ,5100126X1014
花扇チクセツニンジン末Ｋ,5100126A1011
花扇チクジョＫ,5100125X1010
花扇チモＫ,5100127X1019
花扇チンピＫ,5100131X1015
花扇トウキＫ,5100137X1047
花扇トウキ末Ｋ,5100137A1010
花扇トウニンＫ,5100139X1011
花扇トウヒＫ,5100140X1014
花扇ニンジンＫ,5100148X1010
花扇ハッカＫ,5100152X1017
花扇ハマボウフウＫ,5100153X1011
花扇ハンゲＫ,5100154X1016
花扇マオウＫ,5100170X1015
花扇モッカＫ,5100174X1013
花扇モッコウＫ,5100175X1018
花扇モクツウＫ,5100173X1019
花扇ヤクチＫ,5100177X1017
花扇ヨクイニンＫ,5100180X1019
花扇ヨクイニン末Ｋ,5100180A1016
花扇リュウコツＫ,5100182X1018
花扇リュウタンＫ,5100183X1012
花扇リュウタン末Ｋ,5100183A1010
花扇リュウガンニクＫ,5100181X1013
花扇リョウキョウＫ,5100184X1017
花扇レンニクＫ,5100186X1016
花扇レンギョウＫ,5100185X1011
花扇ガイヨウＫ,5100025X1011
花扇ガジュツＫ,5100029X1010
花扇ゲンチアナＫ,5100060X1013
花扇ゲンチアナ末Ｋ,5100060A1010
花扇ゲンノショウコＫ,5100061X1018
花扇ゲンノショウコ末Ｋ,5100061A1015
花扇ゲンジンＫ,5100059X1010
花扇ゴシュユＫ,5100070X1017
花扇ゴシツＫ,5100069X1014
花扇ゴミシＫ,5100072X1016
花扇ジャショウシＫ,5100095X1017
花扇ジュウヤクＫ,5100100X1010
花扇ジオウＫ,5100087X1012
花扇ジコッピＫ,5100089X1011
花扇ダイオウＫ,5100121X1011
花扇ダイオウ末Ｋ,5100121A1019
花扇ドクカツＫ,5100141X1019
花扇バクモンドウＫ,5100151X1012
花扇ビャクシＫ,5100157X1010
花扇ビャクジュツＫ,5100158X1049
花扇ビャクジュツ末Ｋ,5100158A1011
花扇ビンロウジＫ,5100160X1011
花扇ブクリョウＫ,5100161X1016
花扇ブクリョウ末Ｋ,5100161A1013
花扇ボウイＫ,5100163X1015
花扇ボウフウＫ,5100165X1014
花扇ボタンピＫ,5100168X1018
花扇ボタンピ末Ｋ,5100168A1015
花扇ボレイＫ,5100169X1012
花扇ボレイ末Ｋ,5100169A1010
酒石酸「コザカイ・Ｍ」,7149009X1012
炭酸水素ナトリウム「三恵」,2344004X1011
酸化マグネシウム「コザカイ・Ｍ」,2344002X1063
乾燥水酸化アルミニウムゲル細粒「三恵」,2343005C1017
乾燥酵母「ホエイ」,2332001X1068
乾燥酵母「三恵」,2332001X1017
乳酸カルシウム「コザカイ・Ｍ」,3211001X1067
希塩酸「タイセイ」,2335001X1019
オドリック錠０．５ｍｇ,2144011F1023
オドリック錠１ｍｇ,2144011F2020
エバステル錠５ｍｇ,4490019F1028
エバステル錠１０ｍｇ,4490019F2024
ドミン錠０．４　０．４ｍｇ,1169009F1020
リスパダール細粒１％,1179038C1027
リスパダール錠１ｍｇ,1179038F1023
リスパダール錠２ｍｇ,1179038F2020
プログラフカプセル０．５ｍｇ,3999014M2029
ランプレンカプセル５０ｍｇ,6239001M1022
サイトテック錠１００　１００μｇ,2329024F2021
ファロム錠１５０ｍｇ,6139001F1028
ファロム錠２００ｍｇ,6139001F2024
フロモックス錠７５ｍｇ,6132016F1023
フロモックス錠１００ｍｇ,6132016F2020
フロモックス小児用細粒１００ｍｇ,6132016C1027
アテノロールドライシロップ１０％「ＥＭＥＣ」,2123011R1020
アバルナート錠２　２ｍｇ,2160002F1036
アモバンテス錠７．５　７．５ｍｇ,1129007F1034
アンタゴスチン細粒１０％,2329012C1042
エチゾラム錠０．５ｍｇ「ＥＭＥＣ」,1179025F1182
カプトルナ錠１２．５ｍｇ,2144001F1119
カプトルナ錠２５ｍｇ,2144001F2077
グリベンクラミド錠１．２５ｍｇ「ＥＭＥＣ」,3961003F1052
セルテプノンカプセル５０ｍｇ,2329012M1102
セルテプノン細粒１０％,2329012C1107
センノサイド顆粒８％「ＥＭＥＣ」,2354003D2048
チャヨウ,5100192X1011
チザネリン錠１ｍｇ,1249010F1107
トチュウ,5100190X1012
トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,1124007F1046
バクガ,5100191X1017
バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,1139004C1049
モトナリン錠１ｍｇ,1249010F1123
ルチアノンカプセルＲ１００　１００ｍｇ,2171006N1067
ゼリットカプセル１５　１５ｍｇ,6250009M1026
ゼリットカプセル２０　２０ｍｇ,6250009M2022
ソセゴン錠２５ｍｇ,1149034F1026
ペルタゾン錠２５　２５ｍｇ,1149034F1034
ラミシール錠１２５ｍｇ,6290005F1024
パリエット錠１０ｍｇ,2329028F1023
パリエット錠２０ｍｇ,2329028F2020
フェノバルビタール散１０％「マルイシ」,1125003B2139
アレビアチン散１０％,1132002B1019
ヒダントール散１０％,1132002B1019
アレビアチン錠２５ｍｇ,1132002F1010
苦味チンキ「マルイシ」,2333001X1162
ヒマシ油「マルイシ」,2356001X1159
加香ヒマシ油「マルイシ」,2356002X1013
アキョウダイコーＭ,5100001X1016
イレイセンダイコーＭ,5100006X1019
ツムラの生薬イレイセン,5100006X1043
インチンコウダイコーＭ,5100007X1013
小島茵ちん蒿Ｍ,5100007X1013
ツムラの生薬インチンコウ,5100007X1048
ウイキョウダイコーＭ,5100008X1018
マツウラのウイキョウ（医療用）,5100008X1018
エンゴサクダイコーＭ,5100015X1018
マツウラのエンゴサク（医療用）,5100015X1018
オウギダイコーＭ,5100017X1050
オウゴン末ダイコーＭ,5100019A1013
オウゴンダイコーＭ,5100019X1016
マツウラのオウバク末（医療用）,5100020A1016
オウバクダイコーＭ,5100020X1019
マツウラのオウレン末（医療用）,5100022A1015
オウレンダイコーＭ,5100022X1018
オンジダイコーＭ,5100023X1012
トチモトのカイカ,5100024X1017
カゴソウダイコーＭ,5100026X1016
ガジュツダイコーＭ,5100029X1010
マツウラのガジュツ（医療用）,5100029X1010
カッコンダイコーＭ,5100032X1011
カロコンダイコーＭ,5100036X1010
ツムラの生薬カンキョウ,5100038X1019
マツウラのカンゾウ末（医療用）,5100039A1010
カンゾウダイコーＭ,5100039X1013
キキョウダイコーＭ,5100042X1015
キジツダイコーＭ,5100045X1019
キョウニンダイコーＭ,5100049X1017
マツウラのキョウニン（医療用）,5100049X1017
クジンダイコーＭ,5100054X1018
マツウラのクジン（医療用）,5100054X1018
ケイガイダイコーＭ,5100055X1012
マツウラのケイヒ末（医療用）,5100056A1014
ケイヒダイコーＭ,5100056X1017
ゲンチアナ末「マルイシ」,5100060A1207
コウカダイコーＭ,5100062X1012
コウジンダイコーＭ,5100063X1017
コウブシダイコーＭ,5100065X1016
マツウラのコウブシ（医療用）,5100065X1016
コウボクダイコーＭ,5100067X1015
マツウラのコウボク（医療用）,5100067X1015
ゴシツダイコーＭ,5100069X1014
マツウラのゴシツ（医療用）,5100069X1014
ゴシュユダイコーＭ,5100070X1017
マツウラのゴシュユ（医療用）,5100070X1017
ゴミシダイコーＭ,5100072X1016
サイコダイコーＭ,5100075X1010
サイシンダイコーＭ,5100076X1014
サフランダイコーＭ,5100078X1064
マツウラのサンキライ（医療用）,5100079X1018
サンシシダイコーＭ,5100081X1015
サンシュユダイコーＭ,5100082X1010
サンショウダイコーＭ,5100083X1014
ツムラの生薬サンソウニン,5100085X1013
サンヤクダイコーＭ,5100086X1018
ジオウダイコーＭ,5100087X1012
シコンダイコーＭ,5100090X1014
マツウラのシコン（医療用）,5100090X1014
ツムラの生薬シツリシ,5100092X1013
シャクヤク末ダイコーＭ,5100094A1010
シャクヤクダイコーＭ,5100094X1012
シャゼンシダイコーＭ,5100097X1016
マツウラのシャゼンシ（医療用）,5100097X1016
ジュウヤクダイコーＭ,5100100X1010
シュクシャダイコーＭ,5100101X1014
ショウキョウ末ダイコーＭ,5100102A1016
ショウキョウダイコーＭ,5100102X1019
ショウマダイコーＭ,5100106X1017
ツムラの生薬シンイ,5100107X1046
セッコウダイコーＭ,5100109X1010
センキュウ末ダイコーＭ,5100111A1015
センキュウダイコーＭ,5100111X1018
マツウラのセンコツ（医療用）,5100113X1017
マツウラのセンブリ末（医療用）,5100116A1018
ソウジュツダイコーＭ,5100117X1015
ソウハクヒダイコーＭ,5100118X1010
